name;rating;categories;benefits;description
Sausurrea Oil;Worst;Irritant, Fragrance: Synthetic and Natural, Plant Extracts;;"Also called costus oil. Volatile oil and fragrant component used in cosmetics; it can be a skin sensitizer."
Saxifraga Sarmentosa Extract;Average;Plant Extracts, Antioxidant;;
Schisandra Chinensis (Magnolia) Fruit Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing, Hydration;"Also known as five flavor fruit and Chinese magnolia vine, magnolia fruit is a small red berry loaded with beneficial compounds.
Lignans are the chief component in this berry, responsible for its skin-calming and restorative results. The lignans interrupt factors in skin that lead to visible problems like redness while enhancing factors that help skin look healthier, smoother, and even-toned.
The magnolia berry is also a great source of polysaccharides, phytosterols plus polyphenols and flavonoids, including hyperoside, isoquercitrin, rutin and quercetin, all of which provide antioxidant benefit and help strengthen against environmental exposure. These components, plus lignans, also make this berry a boon for overall health when consumed orally."
Sclareolide;Worst;Fragrance: Synthetic and Natural, Irritant, Plant Extracts;;An ingredient that’s fermented from clary sage and used as a fragrant component in cosmetics. As such, it has the potential to be a skin sensitizer.
Sclerocarya Birrea;Best;Emollient, Antioxidant, Plant Extracts;Hydration, Anti-Aging;More commonly known as marula oil, Sclerocarya birrea oil is a non-fragrant plant oil that’s a rich source of fatty acids for skin, including palmitic and stearic acids.
Sclerocarya Birrea Seed Oil;Best;Emollient, Antioxidant, Plant Extracts;Hydration, Anti-Aging;More commonly known as marula oil, Sclerocarya birrea oil is a non-fragrant plant oil that’s a rich source of fatty acids for skin, including palmitic and stearic acids.
Sclerotium Gum;Good;Texture Enhancer, pH Adjuster/Stabilizer;;The Cosmetics Ingredient Review board has deemed multiple times that sclerotium gum is considered safe as used in cosmetics, where it’s typical concentration ranges from 0.25–2%, depending on the desired product aesthetics and needs of ingredients it’s blended with. It is similar to other polysaccharide ingredients, including xanthan gum and pullulan.
Scutellaria Baicalensis Root Extract;Good;Plant Extracts, Antioxidant;Anti-Aging, Evens Skin Tone, Soothing;"Scutellaria baicalensis root extract comes from a flowering plant native to China, where it’s been used for years as one of the many herbal preparations within the field of Chinese medicine. In China, the extract is known as Huang-Qin or golden herb, because the root is a golden yellow color.
It’s primarily used in cosmetics for its promising ability to interrupt the creation and transfer of excess pigment; however, these scientific studies were done in vitro on skin cells, not intact skin on people struggling with dark spots, so what seems exciting in a lab setting may not hold as much promise for topical use. The other issue is the current lack of agreement on how much of this root extract is needed to visibly fade skin discolorations; some say 0.1% is enough, others recommend at least a 1% concentration is necessary, and some blends with this ingredient encourage amounts of 3-10% if the goal is visible improvement of skin color.
The root is more exciting because it contains baicalin, wogonoside, baicalein, wogonin, and oroxylin A, all of which are flavones, a type of antioxidant that lend color to various plants and are known to be soothing. Scutellaria baicalensis root can help skin better withstand environmental aggressors that can worsen the look of many common skin concerns, so it certainly has value.
Testing on mouse, rabbit, and guinea pig skin revealed that a standardized extract of this ingredient is not irritating or sensitizing, even when the skin was compromised. The conclusion was that Scutellaria baicalensis is a viable option for sensitive skin struggling with signs of uneven skin tone or just in need of soothing."
Scutellaria Galericulata Extract;Good;Plant Extracts, Antioxidant;Soothing, Anti-Aging;
SD Alcohol;Worst;Irritant;;
SD Alcohol 40-2;Worst;Irritant;;Denatured alcohol used as a solvent. It can be drying to skin when one of the main ingredients in a cosmetic product. Lesser amounts are not cause for concern.
Sea Buckthorn;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;Also known as seaberry, this berry is a good source of vitamin C as well as various B vitamins, vitamin E, lycopene, phytosterols, and numerous phenolic compounds that provide antioxidant benefit.A unique aspect of this fruit extract is its ability to help stabilize elements in skin that would normally break down in the presence of peroxide and other types of free radicals. Like other berries, it also has a pronounced soothing effect on skin.
Seamollient;Good;Plant Extracts, Antioxidant, Texture Enhancer;Anti-Aging;Trade name for an algae extract.
Sea Salt;Bad;Humectant, Irritant;Hydration;Can be effective as a topical scrub, but if left on skin, it can increase the risk of a sensitized reaction.
Seaweed;Good;Plant Extracts, Antioxidant, Texture Enhancer;Anti-Aging, Hydration, Soothing;Group of sea plants (scientific name: algae) of all sizes and shapes, and having a gelatin-like consistency. Many seaweeds have antioxidant and skin-soothing properties, but many other claims of benefits are not proven or only apply to the plant as it exists in its natural environment, not mixed into a cosmetic product.
Sea Whip Extract;Best;Plant Extracts;Soothing;Extract from a creature (Pseudopterogorgia elisabethae) that inhabits coral reefs, known for its skin-soothing properties, which makes it useful for all skin types, especially sensitive or redness-prone skin.
Sebacic Acid;Good;pH Adjuster/Stabilizer;;Used as a pH adjuster.
Selenium;Best;Antioxidant;Anti-Aging;Mineral considered to be a potent antioxidant.
Serenoa Serrulata Extract;Average;Plant Extracts, Antioxidant;Soothing;Latin name for saw palmetto. There’s no research showing topical application of this plant can benefit skin.
Sericin;Good;Humectant;Hydration;Scientific name for silk protein.
Serine;Good;Humectant, Antioxidant;Hydration, Anti-Aging;
Sesamum Indicum;Best;Antioxidant, Plant Extracts;Anti-Aging;
Sesamum Indicum (Sesame) Seed Oil;Best;Emollient, Antioxidant, Plant Extracts;Hydration, Anti-Aging;"Sesamum indicum (sesame) seed oil is a non-fragrant plant oil that is a good source of monounsaturated and polyunsaturated fats along with vitamin E and lignans (especially one called sesamin), antioxidant plant compounds that have a notable calming effect on skin.
As with all non-fragrant oils, sesame has moisturizing and emollient properties and can help prevent water loss from skin’s uppermost layers.
Sesame oil is a natural source of omega-6 fatty acids, and its fatty acid profile helps ensure a healthy skin barrier by complementing skin’s natural supply of ceramides and lipids."
Sesquioleate;Good;Emulsifier, Texture Enhancer, Emollient;Hydration;Used in cosmetics as a thickening agent and emollient.
Shea Butter;Best;Antioxidant, Plant Extracts, Emollient;Anti-Aging, Hydration, Soothing;"Also listed by its Latin name of Butyrospermum parkii, this plant lipid, extracted from the karite tree is used as an emollient in cosmetics and has smoothing properties for dry skin. Shea butter doesn’t just have a rich texture; it’s also a rich source of antioxidants, including quercetin, epicatechin gallate, gallocatechin, epigallocatechin, as well as skin-replenishing fatty acids (stearic and linoleic). It is an excellent ingredient to see in products designed to improve dry skin."
Siegesbeckia Orientalis;Good;Plant Extracts, Antioxidant;Anti-Aging;Chinese herb (also known as St. Paul’s wort) for which there is no research showing that it has any benefit for skin.
Siegesbeckia Orientalis Extract;Good;Plant Extracts, Antioxidant;Anti-Aging;Chinese herb (also known as St. Paul’s wort) for which there is no research showing that it has any benefit for skin.
Silanetriol;Good;Silicone, Humectant;Hydration;It may also enhance the penetration of other key ingredients.
Silica;Good;Texture Enhancer, Absorbent, Occlusive/Opacifying Agent;Oil Control;The U.S. Food and Drug Administration allows silica to be added directly to food as an anti-caking agent, and it has been ruled safe as used in a wide range of concentrations in cosmetics by the independent Cosmetic Ingredient Review panel.
Silica Dimethyl Silylate;Good;Texture Enhancer, Silicone, Suspending/Dispersing Agent;;Synthetic ingredient used as a slip and suspending agent in cosmetics.
Silica Silylate;Good;Texture Enhancer, Silicone, Suspending/Dispersing Agent;;A synthetic silica derivative, this versatile ingredient helps keep cosmetic ingredients dispersed throughout a formula, works as an emollient, binder, thickening agent, and can also help prevent foam from forming in certain cases where this result isn't desired. Silica silylate is considered safe as used in cosmetics.
Silicate;Good;Texture Enhancer, Absorbent;Oil Control;Inorganic salt that has potent absorbing and thickening properties.
Silicone;Good;Silicone;Hydration, Oil Control, Pore Minimizer;Bottom line: The types of silicones used in cosmetic products are supported by scientific research and are considered safe for consumer use. These types of cosmetic silicones are effective, inert, and versatile ingredients that benefit skin and hair in numerous ways.
Silk;Good;Texture Enhancer;;
Silk Powder;Good;Texture Enhancer, Absorbent;Oil Control;Synthetically derived powder used as an absorbent and slip agent.
Silk Protein;Good;Antioxidant, Peptides;Anti-Aging;There is a small amount of research showing silk protein may have topical antioxidant properties.
Siloxane;Good;Silicone, Texture Enhancer, Film-Forming Agent;;
Silt;Good;Absorbent, Humectant;Oil Control, Hydration;A sediment obtained from various bodies of water. Silt’s absorbent nature helps it function to absorb excess surface oil. Most types of silt contain a small amount (12% or less) or natural clay.
Silver;Worst;Irritant, Coloring Agent/Pigment;;"Metallic element that in cosmetics can have disinfecting properties; however, prolonged contact can turn skin grayish blue. Silver can be sensitizing to skin, and can cause silver toxicity."
Silver Chloride;Average;Irritant;;An inorganic salt that has no known function in cosmetics.
Silver Tip White Tea Leaf Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Soothing;
Silybum Marianum (Milk Thistle) Fruit Extract;Best;Antioxidant, Plant Extracts;Anti-Aging, Dark Spot Fading, Soothing;Silymarin also has research on its role in interrupting pathways in skin that lead to discolorations on skin’s surface, while that and other compounds in milk thistle seem, at least in a lab setting, to have an inhibitory effect on enzymes that degrade collagen. In short, it’s an impressive antioxidant to see in skin care products, particularly those that address environmental stressors.
